代码,    名称,涨幅%,现价,涨跌,涨速%,DDE净量,总手,换手%,量比,买入信号,利好,利空,所属行业,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,振幅%,金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
SZ300096,易联众,2.73,25.99,0.69,0.08,0.31,2607488,2.25,1.21,0,无,无,计算机应用,31000↑,25.3,25.3,26.25,25.3,25.92,25.99,--,--,5000,22511,-63.65,3.75,67367318,30817.62,2186,1193,1405146,1202342,--,--,--
SZ300185,通裕重工,2.73,4.9,0.13,0,0.52,25893866,3.78,1.42,2,有,无,通用机械,243900↑,4.76,4.77,4.93,4.73,4.89,4.9,--,--,118700,314155,-45.15,4.19,125459671,14817.49,8467,3058,15129031,10764835,--,--,--
SZ300197,铁汉生态,2.72,12.48,0.33,0,0.35,7764839,2.65,1.25,4,无,无,建筑装饰,157816↓,12.15,12.15,12.48,12.07,12.48,12.49,--,--,72984,102680,-16.91,3.37,95909588,18075.69,5306,1463,4653432,3111407,--,--,--
SZ000667,美好集团,2.7,1.9,0.05,0,0.43,95824290,3.74,2.52,4,无,无,房地产开发,602200↑,1.85,1.85,1.93,1.84,1.89,1.9,--,--,1850531,2693,99.71,4.86,180828130,14683.57,12315,7781,64358891,31465399,--,--,--
SZ002332,仙琚制药,2.7,9.9,0.26,0.1,0.27,27603539,6.05,2.91,0,无,无,化学制药,105436↓,9.67,9.64,10.25,9.6,9.9,9.91,--,--,124164,7200,89.04,6.74,275794380,25198.21,10945,2522,13099080,14504459,--,--,--
SZ300231,银信科技,2.69,--,--,--,--,--,--,--,0,无,无,计算机应用,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600683,京投银泰,2.69,5.34,0.14,0,0.43,19242137,2.6,1.21,0,无,无,房地产开发,500↓,5.21,5.2,5.45,5.21,5.34,5.35,--,--,25800,177500,-74.62,4.62,102360644,15767.2,6492,2964,11534304,7707833,--,--,--
SZ300330,华虹计通,2.66,--,--,--,--,--,--,--,0,无,无,计算机应用,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002132,恒星科技,2.63,--,--,--,--,--,--,--,0,无,无,金属制品,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600288,大恒科技,2.62,9.39,0.24,0,0.34,16638637,3.81,0.84,0,无,无,其他电子,3100↓,9.15,9.15,9.42,9.11,9.39,9.4,--,--,14310,165272,-84.06,3.39,154806990,21007.87,7369,2258,9602758,7035879,--,--,--
SZ300327,中颖电子,2.62,--,--,--,--,--,--,--,0,无,无,半导体及元件,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002261,拓维信息,2.6,--,--,--,--,--,--,--,0,无,无,传媒,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300355,蒙草抗旱,2.6,--,--,--,--,--,--,--,0,无,无,建筑装饰,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300043,互动娱乐,2.6,--,--,--,--,--,--,--,0,无,无,传媒,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300193,佳士科技,2.6,--,--,--,--,--,--,--,0,无,无,通用机械,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600509,天富能源,2.59,8.71,0.22,0,0.13,46139909,5.5,2.23,0,无,无,电力,1000↑,8.46,8.49,9,8.42,8.71,8.72,--,--,1900,68810,-94.63,6.83,401462670,24200.53,16589,2781,24075714,22064195,--,--,--
SZ000703,恒逸石化,2.59,--,--,--,--,--,--,--,0,无,无,化工合成材料,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002501,利源精制,2.59,--,--,--,--,--,--,--,0,无,无,有色冶炼加工,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600368,五洲交通,2.59,4.76,0.12,-0.21,0.22,22268352,2.67,1.01,0,无,无,公路铁路运输,13500↓,4.71,4.64,4.9,4.67,4.76,4.77,--,--,18800,159000,-78.85,4.96,106204430,16224.32,6546,3402,11597118,10671234,--,--,--
SZ002623,亚玛顿,2.57,--,--,--,--,--,--,--,0,无,无,建筑材料,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300280,南通锻压,2.56,--,--,--,--,--,--,--,0,无,无,通用机械,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300167,迪威视讯,2.56,--,--,--,--,--,--,--,0,无,无,计算机应用,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600176,中国玻纤,2.56,9.2,0.23,0.11,0.1,14821791,1.7,1.14,0,无,无,化工新材料,19400↑,8.99,8.97,9.28,8.98,9.19,9.2,--,--,24098,23887,0.44,3.34,135654870,18700.7,7254,2043,7420386,7401405,--,--,--
SH601929,吉视传媒,2.56,11.23,0.28,0.09,0.23,13987625,1.61,1.41,0,无,无,通信服务,100↑,10.96,10.95,11.33,10.88,11.23,11.24,--,--,2200,115810,-96.27,4.11,155724500,20973,7425,1884,7853910,6133715,--,--,--
SZ300227,光韵达,2.56,--,--,--,--,--,--,--,0,无,无,电子制造,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ000829,天音控股,2.55,--,--,--,--,--,--,--,0,无,无,零售,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002642,荣之联,2.55,--,--,--,--,--,--,--,0,无,无,计算机应用,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300304,云意电气,2.55,--,--,--,--,--,--,--,0,无,无,汽车零部件,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300078,中瑞思创,2.53,--,--,--,--,--,--,--,0,无,无,其他电子,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ000886,海南高速,2.53,--,--,--,--,--,--,--,0,无,无,房地产开发,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002684,猛狮科技,2.52,--,--,--,--,--,--,--,0,无,无,汽车零部件,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002442,龙星化工,2.51,--,--,--,--,--,--,--,0,无,无,化工合成材料,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ000702,正虹科技,2.5,--,--,--,--,--,--,--,0,无,无,农产品加工,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300286,安科瑞,2.49,--,--,--,--,--,--,--,0,无,无,电气设备,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300307,慈星股份,2.48,--,--,--,--,--,--,--,0,无,无,专用设备,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600105,永鼎股份,2.48,8.28,0.2,0,0.34,21821818,5.73,1.37,0,无,无,通信设备,1000↑,8.03,8.08,8.39,7.97,8.27,8.28,--,--,89500,5300,88.82,5.2,178274930,22994.32,7753,2815,11906357,9915461,--,--,--
SZ002181,粤 传 媒,2.47,--,--,--,--,--,--,--,0,无,无,传媒,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600470,六国化工,2.47,6.23,0.15,-0.16,0.68,36136527,6.93,1.95,0,无,无,化学制品,24739↓,6.08,6.08,6.39,6.08,6.22,6.23,--,--,80600,3761,91.08,5.1,225534200,18750.76,12028,3004,19999996,16136531,--,--,--
SZ002584,西陇化工,2.46,--,--,--,--,--,--,--,0,无,无,化学制品,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002396,星网锐捷,2.45,--,--,--,--,--,--,--,0,无,无,通信设备,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002073,软控股份,2.45,9.61,0.23,-0.1,0.2,27459021,4.44,1.5,2,无,无,专用设备,463022↓,9.36,9.38,9.66,9.34,9.61,9.62,--,--,126776,710569,-69.72,3.41,261949500,22587.7,11597,2368,16055409,11403612,--,--,--
SZ300028,金亚科技,2.45,12.54,0.3,0,0.17,12734185,6.09,1.5,3,无,无,通信设备,143800↓,12.2,12.24,12.65,12.08,12.54,12.55,--,--,199900,108700,29.55,4.66,158159460,16516.23,9576,1330,6642581,6091604,--,--,--
SZ300082,奥克股份,2.45,12.98,0.31,0,0.22,4037135,1.2,1.55,4,无,无,化学制品,69200↑,12.68,12.67,12.98,12.56,12.97,12.98,--,--,7700,1706,63.73,3.31,51827766,18929.06,2738,1474,2493884,1543251,--,--,--
SZ000812,陕西金叶,2.44,6.29,0.15,0,0.06,25501643,5.71,1.05,3,无,无,包装印刷,324000↓,6.16,6.14,6.32,6.11,6.29,6.3,--,--,107400,488800,-63.97,3.42,159413920,16870.98,9449,2699,14969692,10531951,--,--,--
SH600543,莫高股份,2.44,7.56,0.18,-0.26,1.2,11019649,3.43,1.13,4,无,无,饮料制造,28200↓,7.38,7.38,7.64,7.37,7.55,7.56,--,--,57042,36900,21.44,3.66,82768693,19877.21,4164,2646,6454984,4564665,--,--,--
SZ002213,特 尔 佳,2.43,11.36,0.27,0.98,0.08,2927660,1.74,0.76,0,无,无,汽车零部件,260900↑,11.09,11.09,11.36,10.99,11.35,11.36,--,--,200,28048,-98.58,3.34,32628403,15225.57,2143,1366,1593997,1333663,--,--,--
SZ000823,超声电子,2.43,11.81,0.28,0.08,0.61,16011179,3.64,1.36,6,无,无,半导体及元件,299100↑,11.53,11.53,11.82,11.48,11.8,11.81,--,--,136813,113780,9.19,2.95,187672710,19842.75,9458,1693,9637483,6373696,--,--,--
SZ002278,神开股份,2.42,11,0.26,0.09,0.18,10656442,5.36,1.41,4,无,无,专用设备,123500↑,10.74,10.74,11.1,10.71,10.99,11,--,--,80000,13403,71.3,3.63,116581632,15846.35,7357,1448,5984663,4671779,--,--,--
SZ300022,吉峰农机,2.42,6.77,0.16,0,0.21,13139993,4.16,1.56,1,无,无,零售,128800↑,6.6,6.61,6.89,6.56,6.76,6.77,--,--,21500,23139,-3.67,4.99,88356846,19682.97,4489,2927,7420795,5719198,--,--,--
SZ300295,三六五网,2.42,100.8,2.38,0.09,0.67,1310021,5.19,0.81,1,无,无,通信服务,5300↑,98.42,98.42,103,97.3,100.75,100.8,--,--,600,1727,-48.43,5.79,131325937,27770.34,4729,277,681911,628110,--,--,--
SH600198,大唐电信,2.4,14.51,0.34,0.07,0.25,12412654,2.75,1.81,1,有,无,通信设备,28600↓,14.17,14.17,14.63,14.09,14.51,14.52,--,--,9500,41554,-62.78,3.81,179128220,21243.86,8432,1472,6663186,5749468,--,--,--
SZ002691,石中装备,2.4,12.39,0.29,0.08,2.07,8260648,12.56,1.94,4,无,无,专用设备,122501↓,12.16,12.1,12.49,12.05,12.39,12.4,--,--,2399,35100,-87.2,3.64,101721317,19690.54,5166,1599,4512998,3747650,--,--,--
SZ300223,北京君正,2.38,28.85,0.67,0.03,-0.16,2206646,3.87,1.46,5,无,无,半导体及元件,25800↓,28.11,28.18,28.88,27.88,28.85,28.86,--,--,12000,4470,45.72,3.55,62871823,17557.06,3581,616,1220608,986038,--,--,--
SZ000881,大连国际,2.38,6.89,0.16,0.15,0.37,13694936,4.45,1.58,5,无,无,综合,104383↓,6.72,6.73,6.9,6.7,6.89,6.9,--,--,124317,226850,-29.2,2.97,93484238,14710.34,6355,2155,7814999,5879937,--,--,--
SZ002493,荣盛石化,2.38,9.05,0.21,0,0.02,4215633,0.414,1.14,6,无,无,化工合成材料,54700↑,8.88,8.84,9.1,8.8,9.04,9.05,--,--,34899,23570,19.38,3.39,37784753,14527.01,2601,1621,2410563,1805070,--,--,--
SH603000,人民网,2.37,34.59,0.8,0.06,0.22,7299829,3.27,1.25,1,无,无,通信服务,4400↓,33.78,33.79,34.62,33.58,34.59,34.6,--,--,6501,15580,-41.12,3.08,249576270,25174.12,9914,736,3962137,3337692,--,--,--
SH600742,一汽富维,2.36,25.15,0.58,0,0.34,3930337,1.86,0.99,2,无,无,汽车零部件,8900↑,24.52,24.57,25.45,24.48,25.13,25.14,--,--,32200,8500,58.23,3.95,98662871,25227.02,3911,1005,1987689,1942648,--,--,--
SZ000541,佛山照明,2.36,9.55,0.22,0,0.44,14916069,2.41,1.42,1,无,无,其他电子,211100↑,9.34,9.33,9.57,9.25,9.54,9.55,--,--,154800,209592,-15.04,3.43,140508500,13000.42,10808,1380,9523594,5392475,--,--,--
SZ002220,天宝股份,2.35,6.96,0.16,0.14,0.1,8237802,2.12,2.32,3,有,无,农产品加工,156200↑,6.8,6.8,6.97,6.76,6.95,6.96,--,--,106751,161776,-20.49,3.09,56849854,14708.89,3865,2131,4913530,3324272,--,--,--
SH600226,升华拜克,2.34,6.99,0.16,0,-0.15,12380952,3.05,1.13,2,无,无,农业服务,9900↑,6.82,6.83,7.05,6.8,6.99,7,--,--,17000,294360,-89.08,3.66,86246360,19017.94,4535,2730,6737045,5643907,--,--,--
SZ000959,首钢股份,2.33,3.07,0.07,0.33,0.34,32150010,2.67,1.14,1,无,无,钢铁,175000↑,2.99,3,3.1,2.97,3.06,3.07,--,--,211374,353972,-25.22,4.33,97759517,16765.48,5831,5514,20678249,11471761,--,--,--
SZ002184,海得控制,2.33,12.31,0.28,0.57,0.54,3486873,2.62,1.09,1,无,无,电气设备,139600↑,12,12.03,12.31,11.93,12.3,12.31,--,--,13300,38265,-48.41,3.16,42251367,17597.4,2401,1452,2402479,1084394,--,--,--
SZ300331,苏大维格,2.33,28.59,0.65,-0.03,-0.12,973754,1.76,1.02,3,无,无,光学光电子,3400↑,28.1,27.94,28.78,27.8,28.58,28.59,--,--,200,1900,-80.95,3.51,27592609,21539.9,1281,760,502788,470966,--,--,--
SZ000088,盐 田 港,2.32,5.29,0.12,0.19,0.08,32935623,1.7,2.71,3,无,无,港口航运,145700↑,5.17,5.17,5.44,5.14,5.28,5.29,--,--,302004,390906,-12.83,5.8,174187690,18293.18,9522,3459,18247170,14688453,--,--,--
SZ000616,亿城投资,2.31,3.54,0.08,0,0.16,38175201,2.67,1.44,5,无,无,房地产开发,802300↑,3.47,3.46,3.55,3.47,3.53,3.54,--,--,406900,120036,54.44,2.31,134539410,21546.99,6244,6114,23318535,14856666,--,--,--
SZ300036,超图软件,2.31,20.8,0.47,0,0.25,2650421,2.95,1.13,4,无,无,计算机应用,15368↓,20.42,20.33,20.99,20.14,20.8,20.81,--,--,14232,19400,-15.37,4.18,54723568,17165.49,3188,831,1561024,1089397,--,--,--
SZ002001,新 和 成,2.31,14.61,0.33,0.07,0.01,13058699,1.22,1.15,1,无,无,化学制药,158400↑,14.27,14.28,14.74,14.22,14.6,14.61,--,--,112700,99633,6.15,3.64,190419420,22031.63,8643,1511,7453265,5605434,--,--,--
SZ000401,冀东水泥,2.31,8.86,0.2,0,0,30372185,2.51,1.72,0,无,无,建筑材料,213168↓,8.7,8.66,9.05,8.56,8.86,8.87,--,--,258232,118489,37.09,5.66,269777870,18311.13,14733,2062,16530118,13842067,--,--,--
SZ002544,杰赛科技,2.31,10.2,0.23,0,0.26,6575295,1.3,0.85,0,无,无,通信设备,197250↓,9.99,9.97,10.27,9.94,10.2,10.21,--,--,363309,76900,65.06,3.31,66527584,19503.84,3411,1928,3281868,3293427,--,--,--
SZ000997,新 大 陆,2.3,20.48,0.46,0,0.11,22647366,4.46,1.75,2,无,无,计算机设备,96300↑,20.04,20.02,20.58,19.73,20.47,20.48,--,--,45000,93150,-34.85,4.25,460023230,23428.74,19635,1153,13183555,9463811,--,--,--
SZ002314,雅致股份,2.29,4.92,0.11,0.2,-1.58,55406257,9.56,4.15,0,无,无,建筑材料,336800↑,5.15,4.81,5.15,4.81,4.91,4.92,--,--,260500,176357,19.26,7.07,275578260,11782.89,23388,2369,27386370,28019887,--,--,--
SZ002071,长城影视,2.28,20.18,0.45,0,-0.16,5998196,3.33,2.06,6,无,无,家用轻工,44150↓,19.81,19.73,20.59,19.63,20.18,20.19,--,--,35650,43957,-10.44,4.87,120557685,21939.52,5495,1092,3333830,2664366,--,--,--
SH603308,应流股份,2.28,13.91,0.31,0,0.69,4992675,6.24,0.99,4,无,无,通用机械,6400↑,13.58,13.6,13.92,13.57,13.9,13.91,--,--,20600,5775,56.21,2.57,68954719,15381.38,4483,1114,2864744,2127931,--,--,--
SH600054,黄山旅游,2.27,13.5,0.3,0.07,0.23,2056005,1.75,1.08,4,无,无,景点及旅游,4600↑,13.25,13.2,13.55,13.16,13.47,13.48,--,--,900,3400,-58.14,2.95,27648759,13626.79,2029,1013,1033433,1022572,--,--,--
SZ002410,广联达,2.27,28.36,0.63,0.07,0.13,5585917,1.52,1.16,2,无,无,计算机应用,24300↑,27.66,27.73,28.66,27.66,28.35,28.36,--,--,1100,6917,-72.56,3.61,157647180,17467.83,9025,619,3173785,2412132,--,--,--
SH601002,晋亿实业,2.27,10.36,0.23,-0.1,-0.94,83638087,11.33,2.16,1,有,有,通用机械,6800↓,10.19,10.13,10.86,10.16,10.36,10.37,--,--,65350,216654,1.29,6.91,873858360,21600.22,40456,2067,41989708,41648379,--,--,--
SZ000686,东北证券,2.27,8.57,0.19,0,-0.31,91168251,5.4,1.09,1,无,无,证券,606290↓,8.47,8.38,8.85,8.36,8.57,8.58,--,--,194223,449836,-39.69,5.85,779304380,24811.5,31409,2903,45230602,45937649,--,--,--
SH600661,新南洋,2.27,26.18,0.58,0.08,0.03,3310024,1.91,1.01,0,无,无,传媒,15600↑,25.65,25.6,26.2,25.42,26.14,26.15,--,--,200,500,-42.86,3.05,85353944,20288.55,4207,787,1826183,1483841,--,--,--
SZ002469,三维工程,2.25,11.35,0.25,0.09,0.19,4763772,2.13,1.42,2,无,无,建筑装饰,26100↑,11.08,11.1,11.36,11.08,11.34,11.35,--,--,13910,40917,-49.26,2.52,53614291,20102.85,2667,1786,2719624,2044148,--,--,--
SZ000882,华联股份,2.25,3.18,0.07,0,0.19,19452855,1.81,1.67,3,无,无,零售,66700↑,3.1,3.11,3.2,3.09,3.17,3.18,--,--,161120,882810,-69.13,3.54,61336546,14357.81,4272,4554,11677087,7775768,--,--,--
SZ000721,西安饮食,2.25,4.55,0.1,0,-0.07,38787751,8.9,1.4,6,无,无,酒店及餐饮,744300↑,4.45,4.45,4.59,4.41,4.54,4.55,--,--,419900,38800,83.08,4.04,175804160,15093.08,11648,3330,21916237,16871514,--,--,--
SZ002113,天润控股,2.25,16.39,0.36,0.06,-1.35,12146945,10.26,3.18,2,无,无,综合,81700↑,16.11,16.03,16.9,15.75,16.38,16.39,--,--,18600,47537,27.55,7.17,198743360,27273.69,7287,1667,6192818,5954127,--,--,--
SH600863,内蒙华电,2.24,2.74,0.06,0,-0.3,105117034,3.98,1.02,2,无,无,电力,3000↓,2.68,2.68,2.76,2.67,2.74,2.75,--,--,242363,2537949,-82.57,3.36,285920820,14690.48,19463,5401,60763524,44353510,--,--,--
SH600703,三安光电,2.24,14.16,0.31,0.07,0.07,39501306,1.95,0.88,2,无,无,光学光电子,1500↑,13.85,13.85,14.25,13.85,14.16,14.17,--,--,4200,199954,-95.89,2.89,556010940,23199.02,23967,1648,21854589,17646717,--,--,--
SZ002201,九鼎新材,2.24,9.14,0.2,-0.11,-0.09,3154887,1.89,1.61,3,无,无,化工新材料,30700↓,8.93,8.94,9.19,8.84,9.14,9.15,--,--,26800,36670,-15.55,3.91,28570331,16875.56,1693,1863,1849011,1305876,--,--,--
SZ002273,水晶光电,2.24,18.74,0.41,0,0.25,15005341,4.41,1.1,3,无,无,光学光电子,201400↑,18.35,18.33,18.77,18.15,18.73,18.74,--,--,8190,37100,-63.83,3.38,277813380,23461.99,11841,1267,8523195,6482146,--,--,--
SZ002416,爱施德,2.23,14.2,0.31,0.07,0.05,4720139,0.494,1.29,2,无,无,零售,94700↑,13.96,13.89,14.24,13.79,14.19,14.2,--,--,21050,8352,43.19,3.24,66214532,11590.15,5713,826,2660261,2059878,--,--,--
SZ000058,深 赛 格,2.23,5.04,0.11,0.2,0.03,14968068,2.78,1.73,4,无,无,零售,63600↑,4.95,4.93,5.04,4.91,5.03,5.04,--,--,47590,502320,-82.69,2.64,74814740,11689.8,6400,2339,9248671,5719397,--,--,--
SZ300375,鹏翎股份,2.23,37.17,0.81,0,0.41,2132951,9.61,0.96,4,无,无,汽车零部件,36500↑,36.37,36.36,37.18,35.8,37.16,37.17,--,--,2500,12268,-66.14,3.8,78265665,19714.27,3970,537,1075331,1057620,--,--,--
SZ002095,生 意 宝,2.23,21.11,0.46,0,0.07,2866970,1.37,1.43,2,无,无,通信服务,33389↓,20.69,20.65,21.14,20.39,21.11,21.12,--,--,44411,14470,50.85,3.63,59948786,16647.82,3601,796,1676367,1190603,--,--,--
SZ300284,苏交科,2.22,9.2,0.2,0,0.23,5892906,2.16,1.68,3,无,无,建筑装饰,41000↑,9.01,9,9.21,8.94,9.19,9.2,--,--,75821,125882,-24.82,3,53742403,14513.21,3703,1591,3773291,2119615,--,--,--
SH601717,郑煤机,2.22,5.53,0.12,0.73,0.29,25947718,1.88,1.45,4,无,无,专用设备,15000↑,5.45,5.41,5.59,5.43,5.52,5.53,--,--,54790,21078,17.66,2.96,142737010,26262.56,5435,4774,13466434,12481284,--,--,--
SZ002577,雷柏科技,2.22,25.35,0.55,0.04,0.1,3222408,2.46,1.56,3,无,无,计算机设备,59413↓,24.85,24.8,25.35,24.4,25.35,25.36,--,--,4787,5000,-2.18,3.83,80564380,15924.96,5059,637,1830898,1391510,--,--,--
SZ000792,盐湖股份,2.22,17.07,0.37,-0.06,0.06,20855497,3.01,1.6,2,无,无,化学制品,99168↓,16.68,16.7,17.32,16.61,17.07,17.08,--,--,1032,49100,-95.88,4.25,354146300,29358.06,12063,1729,9517789,11337708,--,--,--
SH600209,罗顿发展,2.21,8.79,0.19,0,0.11,20484740,5.46,1.13,5,无,无,建筑装饰,3800↓,8.61,8.6,8.89,8.52,8.79,8.8,--,--,103863,170854,-24.39,4.3,178757300,19421.7,9204,2226,10481940,10002800,--,--,--
SZ300152,燃控科技,2.21,12.03,0.26,0.08,0.09,6948880,2.92,1.53,4,无,无,电气设备,56700↑,11.82,11.77,12.07,11.66,12.02,12.03,--,--,19500,45433,-39.94,3.48,82765058,21918.71,3776,1840,3806117,3142763,--,--,--
SZ000596,古井贡酒,2.2,22.72,0.49,0.04,0.13,5011638,1.31,1.07,4,无,无,饮料制造,57700↑,22.25,22.23,22.78,22.2,22.71,22.72,--,--,24894,55001,-37.68,2.61,112863702,19283.05,5853,856,2346061,2665577,--,--,--
SZ300175,朗源股份,2.2,4.65,0.1,0,0.32,11203208,2.38,1.86,2,无,无,农产品加工,181381↓,4.56,4.55,4.69,4.52,4.65,4.66,--,--,116819,61400,31.1,3.74,51659407,15851.31,3259,3438,6688059,4515149,--,--,--
SZ002527,新时达,2.2,17.67,0.38,-0.06,0.11,6044601,3.61,1.7,5,无,无,电气设备,100470↓,17.26,17.29,17.76,17.07,17.67,17.68,--,--,43425,20460,35.95,3.99,105924656,15597.8,6791,890,2988270,3056331,--,--,--
SZ300257,开山股份,2.19,35.45,0.76,-0.48,0.02,1884456,1.2,1.59,2,无,无,通用机械,8000↓,34.69,34.69,35.66,34.37,35.45,35.5,--,--,8398,1000,78.72,3.72,66229864,39493.06,1677,1124,1192815,691641,--,--,--
SZ300373,扬杰科技,2.19,25.71,0.55,0.04,0.12,2247884,5.46,1.13,5,无,无,半导体及元件,49000↑,25.14,25.16,25.77,24.91,25.7,25.71,--,--,3576,30492,-79.01,3.42,57201553,14397.57,3973,566,1171737,1076147,--,--,--
SZ300124,汇川技术,2.18,28.08,0.6,0.04,-0.03,5942987,0.975,1.15,3,有,无,电气设备,49985↓,27.48,27.48,28.22,27.15,28.08,28.09,--,--,7115,14750,-34.92,3.89,165343370,29969.8,5517,1077,3262122,2680865,--,--,--
SZ002003,伟星股份,2.18,8.43,0.18,0,-0.07,4658461,1.6,1.32,3,无,无,纺织制造,33680↓,8.25,8.25,8.44,8.24,8.43,8.44,--,--,19320,45670,-12.81,2.42,38937799,8857.55,4396,1060,2892793,1765668,--,--,--
SH601333,广深铁路,2.18,2.81,0.06,0,0.2,79384145,1.4,1.39,1,无,无,公路铁路运输,40100↓,2.76,2.75,2.83,2.75,2.81,2.82,--,--,12600,2918112,-99.14,2.91,221757910,19097.31,11612,6836,43149026,36235119,--,--,--
SZ000757,浩物股份,2.18,5.16,0.11,0,0.35,9829285,3.14,1.65,2,无,无,汽车零部件,102300↑,5.05,5.05,5.23,5.03,5.15,5.16,--,--,151530,27894,68.91,3.96,50644702,14873.63,3405,2887,5779069,4050216,--,--,--
SZ002331,皖通科技,2.17,11.3,0.24,-0.09,0.36,5520739,4.07,1.96,1,无,无,计算机应用,58900↓,11.08,11.06,11.34,10.9,11.3,11.31,--,--,42010,24657,26.03,3.98,61670436,18224.12,3384,1631,3182484,2338255,--,--,--
SZ300334,津膜科技,2.17,19.8,0.42,0,0.34,3328303,3.17,1.6,1,无,无,环保工程,37400↓,19.38,19.38,19.87,19.24,19.8,19.81,--,--,18399,4568,60.22,3.25,65205406,19705.47,3309,1006,1814016,1514287,--,--,--
SZ002147,方圆支承,2.17,7.55,0.16,0,0.52,7013404,3.42,1.64,3,无,无,通用机械,32800↓,7.39,7.39,7.63,7.32,7.55,7.56,--,--,19700,73739,-57.83,4.19,52623078,15564.35,3381,2074,3994730,3018674,--,--,--
SZ002645,华宏科技,2.16,14.18,0.3,-0.07,0.02,6002819,14,0.95,3,无,无,专用设备,74979↓,13.88,13.88,14.5,13.86,14.18,14.19,--,--,9364,1200,77.28,4.61,85679152,18797.53,4558,1317,3216880,2785939,--,--,--
SZ000931,中 关 村,2.16,5.68,0.12,0,0.35,16583004,3.27,1.61,3,无,无,房地产开发,240400↑,5.56,5.56,5.72,5.51,5.67,5.68,--,--,153037,34480,63.22,3.78,93344996,13621.04,6853,2420,9513970,7069034,--,--,--
SZ300352,北信源,2.16,--,--,--,--,--,--,--,0,无,无,计算机应用,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600588,用友软件,2.15,15.2,0.32,-0.07,0.16,27454086,2.39,1.44,0,无,无,计算机应用,3500↑,14.9,14.88,15.4,14.76,15.19,15.2,--,--,15500,67575,-62.68,4.3,415208840,26089.15,15915,1725,16029130,11424956,--,--,--
SZ002320,海峡股份,2.15,--,--,--,--,--,--,--,0,无,无,港口航运,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ300211,亿通科技,2.13,--,--,--,--,--,--,--,0,无,无,通信设备,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SZ002425,凯撒股份,2.13,--,--,--,--,--,--,--,0,无,无,服装家纺,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SH600177,雅戈尔,2.13,7.67,0.16,0,0.15,26308565,1.18,1.18,0,无,无,服装家纺,200↓,7.51,7.51,7.68,7.5,7.67,7.68,--,--,9050,481070,-96.31,2.4,199377270,16033.56,12435,2116,15620624,10687941,--,--,--
